,param_hidden_layer_sizes,param_learning_rate_init,param_alpha,param_solver,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
74,"(256, 128)",0.00032246177486423735,6.388877641195179e-05,lbfgs,0.9006637312407267,0.016576666443511412,0.9049019607843137,0.013006371726883943,0.9027195777831383,0.012975133185310406,0.8914893617021278,0.01920794689922105,0.8962964376453751,0.01402699719685644
75,"(128, 64)",0.012248682856804872,0.0001527827773064011,sgd,0.8313984246568502,0.0160974178396031,0.8872549019607842,0.012401088863405418,0.8582742766391591,0.009521514365156544,0.8042553191489361,0.023644798692439233,0.86814790886302,0.011915882720865953
76,"(256, 128)",0.09336015204266922,1.9567235921447333e-05,sgd,0.8937022464775927,0.02765402576383548,0.9058823529411765,0.043114967504502,0.898550909743571,0.016927728253557848,0.8808510638297872,0.0403133943010562,0.8989787438761383,0.0372886363597206
77,"(128, 64)",0.04286661750367163,5.787499242847461e-05,lbfgs,0.9006177963837179,0.019730431706822125,0.9088235294117648,0.00960584212856149,0.9044789648309417,0.006573159940445411,0.8904255319148936,0.02553191489361703,0.9002317389692251,0.007592186861030403
78,"(64, 32)",0.012807142800445781,0.0035156803756458467,adam,0.8762338675374414,0.03652628045492548,0.9098039215686274,0.04084836599215617,0.8914467582628905,0.020857497249229775,0.8574468085106384,0.05376288837656712,0.9002543162103793,0.03710986855706205
79,"(256, 128)",0.0018169482974997148,7.599334001601094e-05,sgd,0.7953940538221833,0.029991325577827684,0.8127450980392158,0.015624879853440441,0.803535832609222,0.01570059786848737,0.7712765957446809,0.045384529803620274,0.7914234100427722,0.01357153677053335
80,"(64, 32)",0.00017570436113703515,0.003992242886631504,adam,0.820488909878519,0.02468783173922357,0.8470588235294118,0.03043955822796083,0.8334998860838724,0.026589003325968537,0.798936170212766,0.02802540398365852,0.8283031145438213,0.03317957955814373
81,"(64, 32)",0.0003826677479763707,0.00031955740374573204,sgd,0.6612997541402692,0.04924600330748731,0.8480392156862745,0.031157350160922942,0.7414607778978586,0.02956419105235361,0.5191489361702127,0.11617683715817825,0.7546468802620513,0.0510012750007474
82,"(256, 128)",0.001032726855012838,0.0024399336035729174,sgd,0.7750263036926558,0.036084870346743195,0.8323529411764706,0.01764705882352943,0.8020710622441166,0.01925382361750127,0.7351063829787234,0.05501141903765059,0.8015573891170706,0.01744487207974097
83,"(256, 128)",0.01037715744189125,1.9140171266136655e-05,adam,0.9022408811013662,0.017497255096693386,0.8990196078431373,0.012631469339926591,0.9003848844509552,0.003805728166760895,0.8936170212765957,0.02256723769744301,0.8911139575058261,0.01006258699653855
84,"(256, 128)",0.08821098364250349,0.00024934120524149533,sgd,0.8835221408268353,0.014028071395093572,0.9264705882352942,0.014868383223630492,0.9043094715071929,0.0069113184440269555,0.8670212765957448,0.01932542779211165,0.9161424769337059,0.014709722930122151
85,"(128, 64)",0.0005633185873834528,0.0005922427891922458,sgd,0.6906598113517246,0.08690563413455712,0.842156862745098,0.03373460889036322,0.7544614131308423,0.05373745933555742,0.5606382978723404,0.22291232566719912,0.7255280631383639,0.1274437733648316
86,"(128, 64)",0.004085519442448728,0.002936308497763013,lbfgs,0.9007630547348798,0.01274006907281856,0.9137254901960785,0.010093755040183337,0.9070760438742967,0.0047221163608610565,0.8904255319148937,0.01668551823548737,0.905068834736354,0.009155320368336262
87,"(64, 32)",0.0006525724687264678,0.00036874809057925315,lbfgs,0.8881699998754605,0.01815490180478687,0.9019607843137255,0.01753778805882187,0.8949497390273649,0.016171393627450566,0.876595744680851,0.020846721215175994,0.8918829157444753,0.018638896558983976
88,"(128, 64)",0.00014290425609432097,0.00023539405203496113,sgd,0.5340018470053927,0.011800486435051783,0.8980392156862745,0.010917185025156909,0.66968423192341,0.010852202048463494,0.14893617021276598,0.03730995301436209,0.5658955436695347,0.070128548232405
89,"(256, 128)",0.0002600514485557596,0.0004187023176257683,lbfgs,0.9023002214154967,0.01564659704721763,0.9019607843137255,0.018341457778303635,0.9019363607751391,0.010515122611400621,0.8936170212765958,0.019325427792111632,0.8940548118277565,0.017876776059582822
90,"(128, 64)",0.0009308279573713828,0.00810234256958155,lbfgs,0.9019521732316452,0.01287289154231926,0.9186274509803922,0.011004874666982174,0.9101644921721375,0.009970519360601166,0.8914893617021276,0.01526882988766736,0.9099475617864041,0.011522289611109756
91,"(256, 128)",0.0020745039310086587,0.0001572036785737579,adam,0.9197604941058799,0.02252578121057089,0.8794117647058822,0.0526681412492678,0.8976164155001385,0.02142970090138956,0.9148936170212766,0.028939298954756276,0.8780938382509476,0.0415302146875138
92,"(128, 64)",0.07725831714587861,5.656940124966408e-05,adam,0.84642064840274,0.02982347601606907,0.8686274509803921,0.0548844509893271,0.8554695167318732,0.017209515231288823,0.825531914893617,0.04948809936005534,0.8576132268031094,0.04609818039083277
93,"(64, 32)",0.00014947920745125019,0.00019272738324836817,sgd,0.5394414261480727,0.03054180386007418,0.8872549019607842,0.018341457778303618,0.6707299720236797,0.028299868599628436,0.17446808510638298,0.08139514580165348,0.5614580657170465,0.1310423203177404
94,"(128, 64)",0.0005240371517221394,2.946531769463084e-05,sgd,0.7112262408252977,0.05078795892618789,0.8529411764705882,0.02666955001712831,0.7742080693287792,0.030749114490904225,0.6159574468085106,0.10856277429199085,0.7917549467480464,0.03304575901992879
95,"(64, 32)",0.0006915151366011638,0.0013924761586031804,lbfgs,0.8871965081760322,0.020699474157767073,0.9068627450980392,0.0069324194233975,0.8968622158149907,0.013796900588026212,0.874468085106383,0.024858130735208362,0.8962419896627021,0.009410987780779555
96,"(256, 128)",0.002027770011536227,0.0016356514014241653,lbfgs,0.9021618591365325,0.011812642497973017,0.9029411764705882,0.01622837780122241,0.9024652130230223,0.011013780031815242,0.8936170212765958,0.013870643415324766,0.8948177375971212,0.016336210986772425
97,"(128, 64)",0.0011692786931726754,0.0001814680561952158,lbfgs,0.8959556822359473,0.018064769105342,0.9147058823529413,0.014071274602360124,0.9049882118319704,0.0064016195841203535,0.8840425531914894,0.023644798692439226,0.9056358891239087,0.01265368127145436
98,"(64, 32)",0.00022295536203910122,2.2934746458906674e-05,lbfgs,0.8968885556603647,0.012584262907001171,0.9029411764705882,0.014997116216449351,0.8998356710193278,0.011417181374682407,0.8872340425531915,0.014817434337429885,0.8940591798030363,0.01491872346269083
99,"(128, 64)",0.036845270736218676,1.9163329400867517e-05,lbfgs,0.9016837045859782,0.019010468699767843,0.9107843137254903,0.014002800840280081,0.9059503172914127,0.006654274372108273,0.8914893617021276,0.024629440218702593,0.9024409777209474,0.012261358576861931
